Bus_ID,Bus_Name,Voltage_kV,Voltage_pu,Angle_deg,P_MW,Q_MVAR,Loading_pct
BUS_100,RECIP_1_BUS,13.80,0.932,5.8,18.3,12.5,92.5
BUS_101,RECIP_2_BUS,13.80,0.928,5.5,18.3,12.2,95.8
BUS_102,RECIP_3_BUS,13.80,0.925,5.2,18.3,12.0,98.2
BUS_103,RECIP_4_BUS,13.80,0.922,4.9,18.3,11.8,96.5
BUS_104,RECIP_5_BUS,13.80,0.920,4.6,18.3,11.6,94.8
BUS_105,RECIP_6_BUS,13.80,0.918,4.3,18.3,11.4,93.1
BUS_106,RECIP_7_BUS,13.80,0.916,4.0,18.3,11.2,91.4
BUS_107,RECIP_8_BUS,13.80,0.914,3.7,18.3,11.0,89.7
BUS_120,GT_1_BUS,13.80,1.025,0.0,50.0,30.0,105.0
BUS_121,GT_2_BUS,13.80,1.020,-0.5,50.0,29.5,102.3
BUS_140,BESS_BUS,13.80,0.948,2.8,0.0,8.0,0.0
BUS_200,MAIN_BUS,13.80,0.945,0.0,-200.0,-85.0,98.2
